Group,species,commercial_value,recreational_value,ecosystem_value,management_importantce,uniqueness,include,,
Grouper_ShallowReef_Fish,Hogfish,0.000307273,0.013533835,0.000360095,0.142857143,0,1,,
Grouper_ShallowReef_Fish,Lane snapper,0.000404806,0.083136412,0.000376233,0.142857143,0.166666667,1,,
Grouper_ShallowReef_Fish,Mutton snapper,0.001976474,0.142212675,0.000411735,0.125,0.2,1,,
Grouper_ShallowReef_Fish,Nassau grouper,0,0,0.000360095,0.1,1,1,,
Grouper_ShallowReef_Fish,Red grouper,0.071812231,0.280558539,0.000583253,0.125,0.2,1,,
Grouper_ShallowReef_Fish,Red Hind,9.91012E-06,0.000644468,0.000360095,0,0.333333333,1,,
Grouper_ShallowReef_Fish,Red porgy ,0.001114847,0.039312567,0.000360095,0,0.2,1,,
Grouper_ShallowReef_Fish,Red Snapper,0.183212224,1,0.001641869,0.1,0.125,1,,
Grouper_ShallowReef_Fish,Rock hind,1.09914E-05,0.000214823,0.000360095,0,1,1,,
Grouper_ShallowReef_Fish,Scamp Grouper,0.003928749,0.032438238,0.000360095,0.111111111,0.166666667,1,,
Grouper_ShallowReef_Fish,Speckled hind ,0.001092852,0,0.000360095,0.1,0.25,1,,
Grouper_ShallowReef_Fish,Vermilion snapper ,0.015181681,0.110204082,0.001493865,0.111111111,0.142857143,1,,
Grouper_ShallowReef_Fish,White grunt,1.52098E-05,0.264446831,0.000360095,0,0.2,1,,
Grouper_ShallowReef_Fish,Yellow mouth grouper,0,0,0.000360095,0,0.333333333,1,,
Grouper_ShallowReef_Fish,Yellowedge grouper,0.020835391,0.003222342,0.000840392,0.1,0.5,1,,
Grouper_ShallowReef_Fish,Yellowfin Grouper,0,0,0.000360095,0.1,0.5,1,,
Grouper_ShallowReef_Fish,Yellowtail snapper ,0.025714353,0.082062299,0.000376233,0.111111111,0.25,1,,
LarageCoastalSharks,Blacktip,0.00196682,0.009237379,0.001397041,0.2,0.2,1,,
LarageCoastalSharks,Bull,0.000915587,0.001503759,0.000525619,0.333333333,0,1,,
LarageCoastalSharks,Lemon,0.000189576,0,0.000525619,0.5,0.333333333,1,,
LarageCoastalSharks,Nurse,0,0,0.000525619,0.333333333,0.166666667,1,,
LarageCoastalSharks,Sandbar,0,0,2.21313E-05,0.2,0.2,1,,
LarageCoastalSharks,Spinner,0,0.007089151,0.000525619,0.5,0.2,1,,
LarageCoastalSharks,Tiger,0,0,0.000525619,0.333333333,0.333333333,1,,
menhaden_baitfish,Pinfish,0.002262935,0.216756176,0.001802782,0,0.2,1,,
Menhaden_baitfish  ,Anchovy,0,0,0.01550577,0,0.333333333,1,,
Menhaden_baitfish  ,Atlantic thread herring,0.00267168,0.116863588,0.01550577,0,0.25,1,,
Menhaden_baitfish  ,Flyingfish,0,0,0.001802782,0,0.5,1,,
Menhaden_baitfish  ,Halfbeak,0,0,0.001802782,0,0,1,,
Menhaden_baitfish  ,killifish,0,0,0.01550577,0,0,1,,
Menhaden_baitfish  ,Menhaden,0.624232487,0,1,0,0.333333333,1,,
Menhaden_baitfish  ,Round herring,0,0,0.01550577,0,0.25,1,,
Menhaden_baitfish  ,scad,0.001102584,0.065306122,0.01550577,0,0.25,1,,
Menhaden_baitfish  ,Scaled Sardine,0.00050459,0.026638024,0.01550577,0,0.333333333,1,,
Menhaden_baitfish  ,silverside,0,0,0.01550577,0,0,1,,
Menhaden_baitfish  ,Spanish sardine,0.00100252,0.002577873,0.01550577,0,0.25,1,,
Shrimp_Crabs,Blue crab,0,0,0.012103077,0,0.25,1,,
Shrimp_Crabs,Brown shrimp,0.761185443,0,0.044262681,0.333333333,0.333333333,1,,
Shrimp_Crabs,Pink shrimp,0.157774516,0,0.007082029,0.25,0.333333333,1,,
Shrimp_Crabs,White shrimp,1,0,2.13014E-05,0.25,0.333333333,1,,
Small Pelagics,Blue runner,0.000373299,0.167561762,0.006740837,0,0.25,1,,
Small Pelagics,Bluefish,0.000263967,0.107411386,0.006740837,0,0.166666667,1,,
Small Pelagics,Bonito,0,0,0.006740837,0,0.25,1,,
Small Pelagics,Crevalle jack,0.001567688,0.153598281,0.006740837,0,0.166666667,1,,
Small Pelagics,Dolphinfish,0.000401591,0.190332975,0.006740837,0,0.111111111,1,,
Small Pelagics,Little tunny,0.000549394,0.218045113,0.006740837,0,0.142857143,1,,
Small Pelagics,Pompan Dolphinfish,0.000401591,0.190332975,0.006740837,0,0.2,1,,
Small Pelagics,Rainbow runner,1.73486E-06,0.004511278,0.006740837,0,0.5,1,,
SmallcoastalSharks,Blacknose,0,0,4.14963E-05,0.25,0.166666667,1,,
SmallcoastalSharks,Bonnethead,0,0.007303974,4.14963E-05,0.2,0.166666667,1,,
SmallcoastalSharks,Finetooth,0,0,4.14963E-05,0.166666667,0.5,1,,
SmallcoastalSharks,Sharpnose,0,0,0.000521009,0.25,0.2,1,,
Tilefish_Deepwater_Grouper,blueline tilefish,0.001299099,0.004296455,0.000112962,0.1,0.25,1,,
Tilefish_Deepwater_Grouper,Calico grouper,0.001092852,0,0.000123567,0.1,0.333333333,1,,
Tilefish_Deepwater_Grouper,Golden Tilefish,0.00415711,0.016541353,0.000112962,0.1,0.25,1,,
Tilefish_Deepwater_Grouper,goldface tilefish,0,0,0.000123567,0,0.25,1,,
Tilefish_Deepwater_Grouper,Misty Grouper,0,0,0.000123567,0,0,1,,
Tilefish_Deepwater_Grouper,Snowy,0.004375893,0.001933405,0.000123567,0.111111111,0.2,1,,
Tilefish_Deepwater_Grouper,Warsaw ,0.000548306,0.001933405,0.000123567,0.1,0.2,1,,
Tuna,Bigeye Tuna,0,0.001288937,0.000246211,0,0,1,,
Tuna,Blackfin Tuna,0.000124156,0.168850698,0.000246211,0,0.5,1,,
Tuna,Bluefin Tuna,3.23208E-06,0,9.913E-06,1,1,1,,
Tuna,Skipjack Tuna,0,0.000644468,0.000246211,0,0.25,1,,
Tuna,Yellowfin Tuna,0.009778119,0.023200859,0.000108351,0.5,1,1,,
Amberjack,Almaco jack,0.000363882,0.013104189,0.000521009,0.142857143,0.2,1,,
Amberjack,Banded rudderfish,6.15164E-05,0.004296455,0.000521009,0.142857143,0.333333333,1,,
Amberjacks,Greater Amberjack,0.004731409,0.141568206,0.000521009,0.166666667,0.166666667,1,,
Amberjacks,Lesser Amberjack,1.3671E-05,0.000429646,0.000521009,0.125,0.2,1,,
CoastalPelagic,Cobia,0.000764487,0.083566058,0.000209787,0.166666667,0.1,1,,
CoastalPelagic,Florida pompano ,0.002638717,0.066595059,0.001793561,0,0.25,1,,
CoastalPelagic,King mackerel,0.026418174,0.327604726,0.0022994,0.125,0.1,1,,
CoastalPelagic,Mullet,0.021672137,0.430934479,0.010586158,0,0.5,1,,
CoastalPelagic,Spanish mackerel,0.003201241,0.586680988,0.001604983,0.2,0.1,1,,
CoastalPelagic,Wahoo,0.000317355,0.039312567,0.001793561,0,1,1,,
Deepwater snapper,Cubera snapper,6.97451E-05,0.000644468,0.000376233,0.1,0,1,,
Deepwater snapper,Queen snapper,0.000495132,0,0.000376233,0,0.333333333,1,,
Deepwater snapper,silk snapper,0.000725387,0.000859291,0.000376233,0.1,0.333333333,1,,
Deepwater snapper,Wenchmen,0.008180166,0.09301826,0.000376233,0.142857143,0,1,,
Groundfish,Atlantic croaker,0.008180166,0.09301826,0.006939097,0,0.2,1,,
Groundfish,Black drum,0.017619784,0.133834586,0.006939097,0,0,1,,
Groundfish,Gafftopsail catfish,6.47604E-06,0.083351235,0.006939097,0,0.25,1,,
Groundfish,Gulf butterfish,1.9131E-06,0,0.006939097,0,0.333333333,1,,
Groundfish,Gulf flounder,0.000567277,0.042105263,0.004546146,0,0,1,,
Groundfish,Red Drum,0.000782923,0.50461869,0.002637318,0.125,0.142857143,1,,
Groundfish,Sand sea trout,0.000185298,0.1783029,0.003471854,0,0.2,1,,
Groundfish,Sheepshead,0.002079871,0.479269603,0.004546146,0,0.333333333,1,,
Groundfish,Southern flounder,0.000311462,0.041031149,0.004546146,0,0.333333333,1,,
Groundfish,Spotted croaker,2.76568E-05,0.001503759,0.004546146,0,0.25,1,,
Groundfish,Spotted sea trout,0.00040824,0.507626208,0.003471854,0,1,1,,
Grouper_ShallowReef_Fish,Black grouper,0.002848862,0.031149302,0.000360095,0.111111111,0.5,1,,
Grouper_ShallowReef_Fish,Black sea bass ,0.00069959,0.021482277,0.000360095,0,0.25,1,,
Grouper_ShallowReef_Fish,Gag grouper,0.016804469,0.293662728,0.000415885,0.1,0.2,1,,
Grouper_ShallowReef_Fish,Goliath grouper,0,0,2.13014E-05,0.1,0.25,1,,
Grouper_ShallowReef_Fish,Grey Snapper,0.002631481,0.440601504,0.000360095,0.111111111,0.142857143,1,,
Grouper_ShallowReef_Fish,Grey Triggerfish,0.000691189,0.090870032,0.001489255,0.142857143,0.125,1,,
Grouper_ShallowReef_Fish,Hogfish,0.000307273,0.013533835,0.000360095,0.142857143,0,1,,
Grouper_ShallowReef_Fish,Lane snapper,0.000404806,0.083136412,0.000376233,0.142857143,0.166666667,1,,
Grouper_ShallowReef_Fish,Mutton snapper,0.001976474,0.142212675,0.000411735,0.125,0.2,1,,
Grouper_ShallowReef_Fish,Nassau grouper,0,0,0.000360095,0.1,1,1,,
Grouper_ShallowReef_Fish,Red grouper,0.071812231,0.280558539,0.000583253,0.125,0.2,1,,
Grouper_ShallowReef_Fish,Red Hind,9.91012E-06,0.000644468,0.000360095,0,0.333333333,1,,
Grouper_ShallowReef_Fish,Red porgy ,0.001114847,0.039312567,0.000360095,0,0.2,1,,
Grouper_ShallowReef_Fish,Red Snapper,0.183212224,1,0.001641869,0.1,0.125,1,,
Grouper_ShallowReef_Fish,Rock hind,1.09914E-05,0.000214823,0.000360095,0,1,1,,
Grouper_ShallowReef_Fish,Scamp Grouper,0.003928749,0.032438238,0.000360095,0.111111111,0.166666667,1,,
Grouper_ShallowReef_Fish,Speckled hind ,0.001092852,0,0.000360095,0.1,0.25,1,,
Grouper_ShallowReef_Fish,Vermilion snapper ,0.015181681,0.110204082,0.001493865,0.111111111,0.142857143,1,,
Grouper_ShallowReef_Fish,White grunt,1.52098E-05,0.264446831,0.000360095,0,0.2,1,,
Grouper_ShallowReef_Fish,Yellow mouth grouper,0,0,0.000360095,0,0.333333333,1,,
Grouper_ShallowReef_Fish,Yellowedge grouper,0.020835391,0.003222342,0.000840392,0.1,0.5,1,,
Grouper_ShallowReef_Fish,Yellowfin Grouper,0,0,0.000360095,0.1,0.5,1,,
Grouper_ShallowReef_Fish,Yellowtail snapper ,0.025714353,0.082062299,0.000376233,0.111111111,0.25,1,,
LarageCoastalSharks,Blacktip,0.00196682,0.009237379,0.001397041,0.2,0.2,1,,
LarageCoastalSharks,Bull,0.000915587,0.001503759,0.000525619,0.333333333,0,1,,
LarageCoastalSharks,Lemon,0.000189576,0,0.000525619,0.5,0.333333333,1,,
LarageCoastalSharks,Nurse,0,0,0.000525619,0.333333333,0.166666667,1,,
LarageCoastalSharks,Sandbar,0,0,2.21313E-05,0.2,0.2,1,,
LarageCoastalSharks,Spinner,0,0.007089151,0.000525619,0.5,0.2,1,,
LarageCoastalSharks,Tiger,0,0,0.000525619,0.333333333,0.333333333,1,,
menhaden_baitfish,Pinfish,0.002262935,0.216756176,0.001802782,0,0.2,1,,
Menhaden_baitfish  ,Anchovy,0,0,0.01550577,0,0.333333333,1,,
Menhaden_baitfish  ,Atlantic thread herring,0.00267168,0.116863588,0.01550577,0,0.25,1,,
Menhaden_baitfish  ,Flyingfish,0,0,0.001802782,0,0.5,1,,
Menhaden_baitfish  ,Halfbeak,0,0,0.001802782,0,0,1,,
Menhaden_baitfish  ,killifish,0,0,0.01550577,0,0,1,,
Menhaden_baitfish  ,Menhaden,0.624232487,0,1,0,0.333333333,1,,
Menhaden_baitfish  ,Round herring,0,0,0.01550577,0,0.25,1,,
Menhaden_baitfish  ,scad,0.001102584,0.065306122,0.01550577,0,0.25,1,,
Menhaden_baitfish  ,Scaled Sardine,0.00050459,0.026638024,0.01550577,0,0.333333333,1,,
Menhaden_baitfish  ,silverside,0,0,0.01550577,0,0,1,,
Menhaden_baitfish  ,Spanish sardine,0.00100252,0.002577873,0.01550577,0,0.25,1,,
Shrimp_Crabs,Blue crab,0,0,0.012103077,0,0.25,1,,
Shrimp_Crabs,Brown shrimp,0.761185443,0,0.044262681,0.333333333,0.333333333,1,,
Shrimp_Crabs,Pink shrimp,0.157774516,0,0.007082029,0.25,0.333333333,1,,
Shrimp_Crabs,White shrimp,1,0,2.13014E-05,0.25,0.333333333,1,,
Small Pelagics,Blue runner,0.000373299,0.167561762,0.006740837,0,0.25,1,,
Small Pelagics,Bluefish,0.000263967,0.107411386,0.006740837,0,0.166666667,1,,
Small Pelagics,Bonito,0,0,0.006740837,0,0.25,1,,
Small Pelagics,Crevalle jack,0.001567688,0.153598281,0.006740837,0,0.166666667,1,,
Small Pelagics,Dolphinfish,0.000401591,0.190332975,0.006740837,0,0.111111111,1,,
Small Pelagics,Little tunny,0.000549394,0.218045113,0.006740837,0,0.142857143,1,,
Small Pelagics,Pompan Dolphinfish,0.000401591,0.190332975,0.006740837,0,0.2,1,,
Small Pelagics,Rainbow runner,1.73486E-06,0.004511278,0.006740837,0,0.5,1,,
SmallcoastalSharks,Blacknose,0,0,4.14963E-05,0.25,0.166666667,1,,
SmallcoastalSharks,Bonnethead,0,0.007303974,4.14963E-05,0.2,0.166666667,1,,
SmallcoastalSharks,Finetooth,0,0,4.14963E-05,0.166666667,0.5,1,,
SmallcoastalSharks,Sharpnose,0,0,0.000521009,0.25,0.2,1,,
Tilefish_Deepwater_Grouper,blueline tilefish,0.001299099,0.004296455,0.000112962,0.1,0.25,1,,
Tilefish_Deepwater_Grouper,Calico grouper,0.001092852,0,0.000123567,0.1,0.333333333,1,,
Tilefish_Deepwater_Grouper,Golden Tilefish,0.00415711,0.016541353,0.000112962,0.1,0.25,1,,
Tilefish_Deepwater_Grouper,goldface tilefish,0,0,0.000123567,0,0.25,1,,
Tilefish_Deepwater_Grouper,Misty Grouper,0,0,0.000123567,0,0,1,,
Tilefish_Deepwater_Grouper,Snowy,0.004375893,0.001933405,0.000123567,0.111111111,0.2,1,,
Tilefish_Deepwater_Grouper,Warsaw ,0.000548306,0.001933405,0.000123567,0.1,0.2,1,,
Tuna,Bigeye Tuna,0,0.001288937,0.000246211,0,0,1,,
Tuna,Blackfin Tuna,0.000124156,0.168850698,0.000246211,0,0.5,1,,
Tuna,Bluefin Tuna,3.23208E-06,0,9.913E-06,1,0.333333333,1,,
Tuna,Skipjack Tuna,0,0.000644468,0.000246211,0,0.25,1,,
Tuna,Yellowfin Tuna,0.009778119,0.023200859,0.000108351,0.5,1,1,,
