Group,species,life_stage,summer_trawl,fall_trawl,seamap_bll,nmfs_bll,camera_reef,sum_plank_bongo,fall_plank_bongo,nmfs_small_pelagics
Grouper and shallow reef fish,lane snapper,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,mutton snapper,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,nassau grouper,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,red grouper,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,red hind,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,red porgy ,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,red snapper,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,rock hind,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,scamp grouper,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,speckled hind ,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,vermilion snapper ,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,white grunt,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,yellowmouth grouper,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,yellowedge grouper,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,yellowfin grouper,Juvenille,1,1,1,1,1,1,1,1
Grouper and shallow reef fish,yellowtail snapper ,Juvenille,1,1,1,1,1,1,1,1
Large coastal sharks,blacktip,Juvenille,1,1,1,1,1,1,1,1
Large coastal sharks,bull,Juvenille,1,1,1,1,1,1,1,1
Large coastal sharks,lemon,Juvenille,1,1,1,1,1,1,1,1
Large coastal sharks,nurse,Juvenille,1,1,1,1,1,1,1,1
Large coastal sharks,sandbar,Juvenille,1,1,1,1,1,1,1,1
Large coastal sharks,spinner,Juvenille,1,1,1,1,1,1,1,1
Large coastal sharks,tiger,Juvenille,1,1,1,1,1,1,1,1
Menhaden and baitfish,pinfish,Juvenille,1,1,1,1,1,1,1,1
Menhaden and baitfish,anchovy,Juvenille,1,1,1,1,1,1,1,1
Menhaden and baitfish,atlantic thread herring,Juvenille,1,1,1,1,1,1,1,1
Menhaden and baitfish,flyingfish,Juvenille,1,1,1,1,1,1,1,1
Menhaden and baitfish,halfbeak,Juvenille,1,1,1,1,1,1,1,1
Menhaden and baitfish,killifish,Juvenille,1,1,1,1,1,1,1,1
Menhaden and baitfish,menhaden,Juvenille,1,1,1,1,1,1,1,1
Menhaden and baitfish,round herring,Juvenille,1,1,1,1,1,1,1,1
Menhaden and baitfish,scad,Juvenille,1,1,1,1,1,1,1,1
Menhaden and baitfish,scaled sardine,Juvenille,1,1,1,1,1,1,1,1
Menhaden and baitfish,silverside,Juvenille,1,1,1,1,1,1,1,1
Menhaden and baitfish,spanish sardine,Juvenille,1,1,1,1,1,1,1,1
Shrimp and crabs,blue crab,Juvenille,1,1,1,1,1,1,1,1
Shrimp and crabs,brown shrimp,Juvenille,1,1,1,1,1,1,1,1
Shrimp and crabs,pink shrimp,Juvenille,1,1,1,1,1,1,1,1
Shrimp and crabs,white shrimp,Juvenille,1,1,1,1,1,1,1,1
Small pelagics,blue runner,Juvenille,1,1,1,1,1,1,1,1
Small pelagics,bluefish,Juvenille,1,1,1,1,1,1,1,1
Small pelagics,bonito,Juvenille,1,1,1,1,1,1,1,1
Small pelagics,crevalle jack,Juvenille,1,1,1,1,1,1,1,1
Small pelagics,dolphinfish,Juvenille,1,1,1,1,1,1,1,1
Small pelagics,little tunny,Juvenille,1,1,1,1,1,1,1,1
Small pelagics,pompan dolphinfish,Juvenille,1,1,1,1,1,1,1,1
Small pelagics,rainbow runner,Juvenille,1,1,1,1,1,1,1,1
Small coastal sharks,blacknose,Juvenille,1,1,1,1,1,1,1,1
Small coastal sharks,bonnethead,Juvenille,1,1,1,1,1,1,1,1
Small coastal sharks,finetooth,Juvenille,1,1,1,1,1,1,1,1
Small coastal sharks,sharpnose,Juvenille,1,1,1,1,1,1,1,1
Tilefish and deepwater grouper,blueline tilefish,Juvenille,1,1,1,1,1,1,1,1
Tilefish and deepwater grouper,calico grouper,Juvenille,1,1,1,1,1,1,1,1
Tilefish and deepwater grouper,golden tilefish,Juvenille,1,1,1,1,1,1,1,1
Tilefish and deepwater grouper,goldface tilefish,Juvenille,1,1,1,1,1,1,1,1
Tilefish and deepwater grouper,misty grouper,Juvenille,1,1,1,1,1,1,1,1
Tilefish and deepwater grouper,snowy,Juvenille,1,1,1,1,1,1,1,1
Tilefish and deepwater grouper,warsaw ,Juvenille,1,1,1,1,1,1,1,1
Tuna,bigeye tuna,Juvenille,1,1,1,1,1,1,1,1
Tuna,blackfin tuna,Juvenille,1,1,1,1,1,1,1,1
Tuna,bluefin tuna,Juvenille,1,1,1,1,1,1,1,1
Tuna,skipjack tuna,Juvenille,1,1,1,1,1,1,1,1
Tuna,yellowfin tuna,Juvenille,1,1,1,1,1,1,1,1
